date,trends_signal,wiki_signal,upload_count,total_views_of_new_videos,unique_channels,total_likes,youtube_signal,youtube_creator_signal,log_views,log_likes,youtube_audience_signal,hype_index_equal,hype_index_pca,z_score,is_spike
2024-10-13,0.0171821305841924,0.0629892858588795,0.0161290322580645,0.0053517718451999,0.0192307692307692,138792.0,0.0121135695275695,0.0176799007444168,0.7333588204556499,0.7211002783658249,0.7272295494107375,0.0307616619902138,0.0434425638788417,1.2951442792349086,False
2024-10-20,0.0171821305841924,0.0705295482344916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292372262728946,0.0392516844204287,0.6766372496348562,False
2024-10-27,0.0206185567010309,0.0750873215383313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319019594131207,0.0432957981324131,1.103049542904666,False
2024-11-03,0.0274914089347079,0.0746628290583505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340514126643528,0.0468279055740963,1.4424943064208966,False
2024-11-10,0.0240549828178694,0.0748750752983409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329766860387367,0.0450618518532547,0.9453941685908954,False
2024-11-17,0.0274914089347079,0.0762638772848675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345850954065251,0.0475925321914937,1.0106109225034983,False
2024-11-24,0.0481099656357388,0.0871718617921189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450939424759525,0.0640064619373398,1.9629946495341049,True
2024-12-01,0.0343642611683848,0.0868847772825365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404163461503071,0.0563996844120499,1.0438696670332264,False
2024-12-08,0.0309278350515463,0.0950016623910704,0.0161290322580645,0.0084672189019715,0.0192307692307692,84017.0,0.0138704490349772,0.0176799007444168,0.7567470513069486,0.6905313984256191,0.7236392248662838,0.046599982159198,0.0673307643546028,1.5237398576382302,True
2024-12-15,0.0274914089347079,0.1102944333822849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459286141056642,0.0638448027764519,1.1132558605282123,False
2024-12-22,0.0549828178694158,0.0917026442446303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488951540380153,0.0699051034078876,1.218400720435632,False
2024-12-29,0.0893470790378006,0.1181929379664356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691800056680787,0.1012304850384825,2.1208684531238005,True
2025-01-05,0.0618556701030927,0.1645840771153159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754799157394695,0.1084465633523408,1.7500777653091482,True
2025-01-12,0.0481099656357388,0.1198860004588444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559986553648611,0.0796300395257711,0.20309206371929028,False
2025-01-19,0.0343642611683848,0.1038019067809606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460553893164485,0.0644789460421598,-0.6027154233818994,False
2025-01-26,0.0584192439862542,0.1105398047579963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563196829147502,0.0807687490738098,0.06759019946045432,False
2025-02-02,0.0618556701030927,0.0953991640197229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0524182780409385,0.0754053187482973,-0.3580259925571527,False
2025-02-09,0.0378006872852233,0.0981767679927762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453258184259998,0.0636599172833405,-1.0000298981158195,False
2025-02-16,0.0343642611683848,0.0906328250465285,0.0483870967741935,0.0378931365005214,0.0576923076923076,213849.0,0.0486556089615541,0.0530397022332506,0.8331437727150379,0.7474267873774565,0.7902852800462472,0.0578842317254891,0.0894869709979559,0.052640658683402564,False
2025-02-23,0.0515463917525773,0.0963009038254624,0.0161290322580645,0.0007223515183831,0.0192307692307692,13134.0,0.0095029221452996,0.0176799007444168,0.6312631750527191,0.577516297424789,0.604389736238754,0.0524500725744464,0.0763463887506328,-0.2973792248051521,False
2025-03-02,0.0584192439862542,0.1267870704007282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617354381289942,0.08852809795825,1.4460660628830524,False
2025-03-09,0.0412371134020618,0.129873842307178,0.0161290322580645,0.008298587266862,0.0192307692307692,19057.0,0.0137753533846177,0.0176799007444168,0.7557214998102664,0.600183652935521,0.6779525763728937,0.0616287696979525,0.0895260611889389,1.167472645666198,False
2025-03-16,0.0481099656357388,0.1128892356804332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053666400438724,0.0762885333196274,-0.2776455836097946,False
2025-03-23,0.0309278350515463,0.1303130570697014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537469640404159,0.0752726901531432,-0.20384725276490614,False
2025-03-30,0.0343642611683848,0.1191412983335603,0.0161290322580645,0.018591734643797,0.0192307692307692,42053.0,0.0195799199086927,0.0176799007444168,0.7968434419278495,0.6483839783325694,0.7226137101302095,0.0576951598035459,0.0843993272665237,0.40140081058108973,False
2025-04-06,0.0343642611683848,0.1524983100046498,0.0161290322580645,0.0016500343938423,0.0192307692307692,8948.0,0.0100260660163293,0.0176799007444168,0.6733744089404712,0.5541466382646005,0.6137605236025359,0.065629545729788,0.0941844936623062,1.6198140344750718,True
2025-04-13,0.0274914089347079,0.1214109835588909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496341308311996,0.0691538309605425,-1.3318985018988587,False
2025-04-20,0.0446735395189003,0.1206540128648212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551091841279071,0.0781294079180951,-0.42313289821320377,False
2025-04-27,0.1065292096219931,0.123291755153719,0.0161290322580645,0.0107243017530515,0.0192307692307692,53649.0,0.0151432752250307,0.0176799007444168,0.7687941037185642,0.6632147555252315,0.7160044296218978,0.0816547466669143,0.1227434423683975,2.1519335424511796,True
2025-05-04,0.2714776632302405,0.2549371787935335,0.1129032258064516,0.1482851009742461,0.1346153846153846,1560295.0,0.1472907131892106,0.1237593052109181,0.90269895529812,0.8684566463522514,0.8855778008251858,0.2245685184043282,0.3602532582458874,2.4385216049262803,True
2025-05-11,0.1512027491408934,0.5265326202841155,0.7903225806451613,0.9829618384829708,0.903846153846154,10099531.0,1.0,0.8470843672456576,0.9991239125989794,0.982194197291644,0.9906590549453116,0.5592451231416696,0.97309969575059,2.338478667083204,True
2025-05-18,0.0790378006872852,0.1986354897796688,0.1129032258064516,0.0598061853868215,0.1346153846153846,420988.0,0.0973952115804349,0.1237593052109181,0.856407860164057,0.7886762570841858,0.8225420586241214,0.1250228340157963,0.1966945100693146,-0.15648223277795337,False
